Employee_ID,Age,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Gender_Male,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Assistant,Job_Role_Executive,Job_Role_Manager,Overtime_Yes,Attrition_Yes
1,58,1,15488,28,15,4,2,1,3,4,14,6,54,17,4,4,4,20,3,False,True,False,False,True,False,False,False,False,True,False,False
2,48,5,13079,28,6,9,1,2,1,1,6,2,45,1,4,1,2,25,2,False,True,False,False,False,False,True,True,False,False,True,False
3,34,1,13744,24,24,14,8,3,2,1,77,6,34,2,3,4,4,45,3,True,True,False,False,False,True,False,True,False,False,True,False
4,27,1,6809,26,10,8,2,3,5,4,49,9,48,18,2,3,1,35,3,False,False,False,False,False,True,False,False,False,True,False,False
5,40,1,10206,52,29,10,1,2,5,1,64,3,33,0,4,1,3,44,3,True,False,False,False,False,True,False,False,True,False,False,False
6,58,3,16746,48,15,9,3,4,2,3,66,9,35,9,2,2,3,24,1,True,False,False,False,False,False,False,True,False,False,False,False
7,38,1,18995,55,29,1,1,4,5,1,43,2,55,13,1,1,3,40,2,True,False,False,True,False,False,False,False,False,False,False,False
8,42,3,19035,24,4,9,0,3,2,3,30,5,46,12,4,2,4,13,1,False,False,False,False,False,True,False,False,False,True,False,False
9,30,5,14671,31,18,3,5,4,1,1,42,2,36,8,3,4,2,48,3,True,True,False,False,True,False,False,False,False,False,True,False
10,30,3,16210,31,18,11,9,3,1,2,76,7,53,5,3,3,4,39,2,True,True,False,False,False,True,False,False,False,False,False,False
11,43,5,8197,81,25,12,7,3,1,4,47,9,52,5,4,1,2,4,3,False,True,False,False,False,False,False,False,True,False,True,True
12,55,5,18553,76,17,10,9,2,2,2,81,7,36,18,2,2,3,12,1,False,True,False,False,True,False,False,False,False,False,False,False
13,59,3,10452,15,12,9,9,4,2,1,80,5,38,9,1,4,1,17,1,False,False,False,False,False,False,False,False,True,False,False,False
14,43,2,11718,26,7,1,1,2,4,1,80,4,42,2,1,3,4,1,3,False,False,False,False,True,False,False,True,False,False,True,False
15,22,4,17859,18,16,1,8,3,5,3,60,4,49,17,3,3,1,17,2,True,False,False,False,False,False,True,False,False,True,False,False
16,41,1,5172,56,11,9,2,3,5,1,74,8,43,18,3,3,3,2,1,True,False,True,True,False,False,False,False,False,False,True,False
17,21,4,16158,27,14,11,7,3,4,1,83,1,45,4,2,4,2,6,3,True,True,False,True,False,False,False,False,False,True,True,False
18,43,1,19663,99,3,14,7,1,4,1,9,5,52,10,3,4,1,44,4,True,True,False,False,False,False,False,False,False,False,True,False
19,49,1,14085,18,19,6,2,1,1,2,28,2,38,9,2,4,4,11,3,False,False,False,True,False,False,False,False,False,True,False,False
20,57,5,6981,96,18,4,2,1,4,3,47,9,44,16,4,3,1,43,3,True,True,False,False,False,False,False,False,False,False,False,False
21,21,1,8247,83,10,7,5,2,2,2,97,7,34,3,1,1,1,18,2,True,True,False,False,False,False,False,False,False,False,False,False
22,40,1,13553,33,6,5,0,3,3,3,80,8,47,17,4,2,4,40,3,False,False,False,False,False,False,False,False,False,False,False,False
23,52,3,9135,16,13,10,3,4,2,2,61,6,50,17,3,4,2,25,4,True,False,True,True,False,False,False,False,False,False,False,False
24,31,4,8573,26,10,14,0,2,4,1,12,9,49,0,1,1,4,39,3,True,False,True,False,False,False,False,False,False,False,False,True
25,41,3,16731,95,18,7,2,2,5,2,43,6,37,13,1,2,3,28,4,True,False,True,True,False,False,False,False,False,False,True,False
26,44,1,10189,88,26,8,8,2,2,2,46,7,44,7,4,3,2,46,1,True,False,False,False,False,False,False,False,False,False,False,False
